user_id,user_name,name,timestep,posts_analyzed,stance,confidence,reasoning
1,,user1,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
1,,user1,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
1,,user1,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
1,,user1,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
1,,user1,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
1,,user1,5,1,中立,1.0,时间步5时分析了1条帖子，立场分布： 中立(1)
1,,user1,6,1,支持,1.0,时间步6时分析了1条帖子，立场分布： 支持(1)
1,,user1,7,1,支持,1.0,时间步7时分析了1条帖子，立场分布： 支持(1)
1,,user1,8,1,支持,1.0,时间步8时分析了1条帖子，立场分布： 支持(1)
1,,user1,9,1,支持,1.0,时间步9时分析了1条帖子，立场分布： 支持(1)
1,,user1,10,1,支持,1.0,时间步10时分析了1条帖子，立场分布： 支持(1)
1,,user1,11,1,支持,1.0,时间步11时分析了1条帖子，立场分布： 支持(1)
1,,user1,12,1,支持,1.0,时间步12时分析了1条帖子，立场分布： 支持(1)
1,,user1,13,1,支持,1.0,时间步13时分析了1条帖子，立场分布： 支持(1)
1,,user1,14,1,支持,1.0,时间步14时分析了1条帖子，立场分布： 支持(1)
1,,user1,15,1,中立,1.0,时间步15时分析了1条帖子，立场分布： 中立(1)
1,,user1,16,1,中立,1.0,时间步16时分析了1条帖子，立场分布： 中立(1)
1,,user1,17,1,中立,1.0,时间步17时分析了1条帖子，立场分布： 中立(1)
1,,user1,18,1,支持,1.0,时间步18时分析了1条帖子，立场分布： 支持(1)
1,,user1,19,1,支持,1.0,时间步19时分析了1条帖子，立场分布： 支持(1)
2,,user2,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
2,,user2,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
2,,user2,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
2,,user2,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
2,,user2,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
2,,user2,5,1,中立,1.0,时间步5时分析了1条帖子，立场分布： 中立(1)
2,,user2,6,1,支持,1.0,时间步6时分析了1条帖子，立场分布： 支持(1)
2,,user2,7,1,支持,1.0,时间步7时分析了1条帖子，立场分布： 支持(1)
2,,user2,8,1,支持,1.0,时间步8时分析了1条帖子，立场分布： 支持(1)
2,,user2,9,1,支持,1.0,时间步9时分析了1条帖子，立场分布： 支持(1)
2,,user2,10,1,中立,1.0,时间步10时分析了1条帖子，立场分布： 中立(1)
2,,user2,11,1,中立,1.0,时间步11时分析了1条帖子，立场分布： 中立(1)
2,,user2,12,1,中立,1.0,时间步12时分析了1条帖子，立场分布： 中立(1)
2,,user2,13,1,中立,1.0,时间步13时分析了1条帖子，立场分布： 中立(1)
2,,user2,14,1,中立,1.0,时间步14时分析了1条帖子，立场分布： 中立(1)
2,,user2,15,1,中立,1.0,时间步15时分析了1条帖子，立场分布： 中立(1)
2,,user2,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
2,,user2,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
2,,user2,18,1,中立,1.0,时间步18时分析了1条帖子，立场分布： 中立(1)
2,,user2,19,1,中立,1.0,时间步19时分析了1条帖子，立场分布： 中立(1)
3,,user3,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
3,,user3,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
3,,user3,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
3,,user3,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
3,,user3,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
3,,user3,5,1,中立,1.0,时间步5时分析了1条帖子，立场分布： 中立(1)
3,,user3,6,1,中立,1.0,时间步6时分析了1条帖子，立场分布： 中立(1)
3,,user3,7,1,中立,1.0,时间步7时分析了1条帖子，立场分布： 中立(1)
3,,user3,8,1,中立,1.0,时间步8时分析了1条帖子，立场分布： 中立(1)
3,,user3,9,1,支持,1.0,时间步9时分析了1条帖子，立场分布： 支持(1)
3,,user3,10,1,中立,1.0,时间步10时分析了1条帖子，立场分布： 中立(1)
3,,user3,11,1,支持,1.0,时间步11时分析了1条帖子，立场分布： 支持(1)
3,,user3,12,1,中立,1.0,时间步12时分析了1条帖子，立场分布： 中立(1)
3,,user3,13,1,中立,1.0,时间步13时分析了1条帖子，立场分布： 中立(1)
3,,user3,14,1,支持,1.0,时间步14时分析了1条帖子，立场分布： 支持(1)
3,,user3,15,1,支持,1.0,时间步15时分析了1条帖子，立场分布： 支持(1)
3,,user3,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
3,,user3,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
3,,user3,18,1,支持,1.0,时间步18时分析了1条帖子，立场分布： 支持(1)
3,,user3,19,1,支持,1.0,时间步19时分析了1条帖子，立场分布： 支持(1)
4,,user4,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
4,,user4,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
4,,user4,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
4,,user4,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
4,,user4,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
4,,user4,5,1,支持,1.0,时间步5时分析了1条帖子，立场分布： 支持(1)
4,,user4,6,1,中立,1.0,时间步6时分析了1条帖子，立场分布： 中立(1)
4,,user4,7,1,中立,1.0,时间步7时分析了1条帖子，立场分布： 中立(1)
4,,user4,8,1,中立,1.0,时间步8时分析了1条帖子，立场分布： 中立(1)
4,,user4,9,1,支持,1.0,时间步9时分析了1条帖子，立场分布： 支持(1)
4,,user4,10,1,中立,1.0,时间步10时分析了1条帖子，立场分布： 中立(1)
4,,user4,11,1,中立,1.0,时间步11时分析了1条帖子，立场分布： 中立(1)
4,,user4,12,1,支持,1.0,时间步12时分析了1条帖子，立场分布： 支持(1)
4,,user4,13,1,支持,1.0,时间步13时分析了1条帖子，立场分布： 支持(1)
4,,user4,14,1,支持,1.0,时间步14时分析了1条帖子，立场分布： 支持(1)
4,,user4,15,1,支持,1.0,时间步15时分析了1条帖子，立场分布： 支持(1)
4,,user4,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
4,,user4,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
4,,user4,18,1,支持,1.0,时间步18时分析了1条帖子，立场分布： 支持(1)
4,,user4,19,1,支持,1.0,时间步19时分析了1条帖子，立场分布： 支持(1)
5,,user5,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
5,,user5,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
5,,user5,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
5,,user5,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
5,,user5,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
5,,user5,5,1,中立,1.0,时间步5时分析了1条帖子，立场分布： 中立(1)
5,,user5,6,1,支持,1.0,时间步6时分析了1条帖子，立场分布： 支持(1)
5,,user5,7,1,支持,1.0,时间步7时分析了1条帖子，立场分布： 支持(1)
5,,user5,8,1,中立,1.0,时间步8时分析了1条帖子，立场分布： 中立(1)
5,,user5,9,1,中立,1.0,时间步9时分析了1条帖子，立场分布： 中立(1)
5,,user5,10,1,中立,1.0,时间步10时分析了1条帖子，立场分布： 中立(1)
5,,user5,11,1,支持,1.0,时间步11时分析了1条帖子，立场分布： 支持(1)
5,,user5,12,1,中立,1.0,时间步12时分析了1条帖子，立场分布： 中立(1)
5,,user5,13,1,支持,1.0,时间步13时分析了1条帖子，立场分布： 支持(1)
5,,user5,14,1,中立,1.0,时间步14时分析了1条帖子，立场分布： 中立(1)
5,,user5,15,1,支持,1.0,时间步15时分析了1条帖子，立场分布： 支持(1)
5,,user5,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
5,,user5,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
5,,user5,18,1,中立,1.0,时间步18时分析了1条帖子，立场分布： 中立(1)
5,,user5,19,1,支持,1.0,时间步19时分析了1条帖子，立场分布： 支持(1)
6,,user6,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
6,,user6,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
6,,user6,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
6,,user6,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
6,,user6,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
6,,user6,5,1,中立,1.0,时间步5时分析了1条帖子，立场分布： 中立(1)
6,,user6,6,1,中立,1.0,时间步6时分析了1条帖子，立场分布： 中立(1)
6,,user6,7,1,中立,1.0,时间步7时分析了1条帖子，立场分布： 中立(1)
6,,user6,8,1,中立,1.0,时间步8时分析了1条帖子，立场分布： 中立(1)
6,,user6,9,1,中立,1.0,时间步9时分析了1条帖子，立场分布： 中立(1)
6,,user6,10,1,中立,1.0,时间步10时分析了1条帖子，立场分布： 中立(1)
6,,user6,11,1,支持,1.0,时间步11时分析了1条帖子，立场分布： 支持(1)
6,,user6,12,1,中立,1.0,时间步12时分析了1条帖子，立场分布： 中立(1)
6,,user6,13,1,支持,1.0,时间步13时分析了1条帖子，立场分布： 支持(1)
6,,user6,14,1,中立,1.0,时间步14时分析了1条帖子，立场分布： 中立(1)
6,,user6,15,1,支持,1.0,时间步15时分析了1条帖子，立场分布： 支持(1)
6,,user6,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
6,,user6,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
6,,user6,18,1,中立,1.0,时间步18时分析了1条帖子，立场分布： 中立(1)
6,,user6,19,1,支持,1.0,时间步19时分析了1条帖子，立场分布： 支持(1)
7,,user7,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
7,,user7,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
7,,user7,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
7,,user7,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
7,,user7,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
7,,user7,5,1,中立,1.0,时间步5时分析了1条帖子，立场分布： 中立(1)
7,,user7,6,1,中立,1.0,时间步6时分析了1条帖子，立场分布： 中立(1)
7,,user7,7,1,支持,1.0,时间步7时分析了1条帖子，立场分布： 支持(1)
7,,user7,8,1,支持,1.0,时间步8时分析了1条帖子，立场分布： 支持(1)
7,,user7,9,1,支持,1.0,时间步9时分析了1条帖子，立场分布： 支持(1)
7,,user7,10,1,中立,1.0,时间步10时分析了1条帖子，立场分布： 中立(1)
7,,user7,11,1,中立,1.0,时间步11时分析了1条帖子，立场分布： 中立(1)
7,,user7,12,1,支持,1.0,时间步12时分析了1条帖子，立场分布： 支持(1)
7,,user7,13,1,支持,1.0,时间步13时分析了1条帖子，立场分布： 支持(1)
7,,user7,14,1,支持,1.0,时间步14时分析了1条帖子，立场分布： 支持(1)
7,,user7,15,1,中立,1.0,时间步15时分析了1条帖子，立场分布： 中立(1)
7,,user7,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
7,,user7,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
7,,user7,18,1,支持,1.0,时间步18时分析了1条帖子，立场分布： 支持(1)
7,,user7,19,1,中立,1.0,时间步19时分析了1条帖子，立场分布： 中立(1)
8,,user8,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
8,,user8,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
8,,user8,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
8,,user8,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
8,,user8,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
8,,user8,5,1,中立,1.0,时间步5时分析了1条帖子，立场分布： 中立(1)
8,,user8,6,1,中立,1.0,时间步6时分析了1条帖子，立场分布： 中立(1)
8,,user8,7,1,支持,1.0,时间步7时分析了1条帖子，立场分布： 支持(1)
8,,user8,8,1,支持,1.0,时间步8时分析了1条帖子，立场分布： 支持(1)
8,,user8,9,1,中立,1.0,时间步9时分析了1条帖子，立场分布： 中立(1)
8,,user8,10,1,中立,1.0,时间步10时分析了1条帖子，立场分布： 中立(1)
8,,user8,11,1,支持,1.0,时间步11时分析了1条帖子，立场分布： 支持(1)
8,,user8,12,1,支持,1.0,时间步12时分析了1条帖子，立场分布： 支持(1)
8,,user8,13,1,中立,1.0,时间步13时分析了1条帖子，立场分布： 中立(1)
8,,user8,14,1,支持,1.0,时间步14时分析了1条帖子，立场分布： 支持(1)
8,,user8,15,1,支持,1.0,时间步15时分析了1条帖子，立场分布： 支持(1)
8,,user8,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
8,,user8,17,1,中立,1.0,时间步17时分析了1条帖子，立场分布： 中立(1)
8,,user8,18,1,支持,1.0,时间步18时分析了1条帖子，立场分布： 支持(1)
8,,user8,19,1,支持,1.0,时间步19时分析了1条帖子，立场分布： 支持(1)
9,,user9,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
9,,user9,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
9,,user9,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
9,,user9,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
9,,user9,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
9,,user9,5,1,混合,1.0,时间步5时分析了1条帖子，立场分布： 混合(1)
9,,user9,6,1,支持,1.0,时间步6时分析了1条帖子，立场分布： 支持(1)
9,,user9,7,1,支持,1.0,时间步7时分析了1条帖子，立场分布： 支持(1)
9,,user9,8,1,支持,1.0,时间步8时分析了1条帖子，立场分布： 支持(1)
9,,user9,9,1,中立,1.0,时间步9时分析了1条帖子，立场分布： 中立(1)
9,,user9,10,1,支持,1.0,时间步10时分析了1条帖子，立场分布： 支持(1)
9,,user9,11,1,支持,1.0,时间步11时分析了1条帖子，立场分布： 支持(1)
9,,user9,12,1,支持,1.0,时间步12时分析了1条帖子，立场分布： 支持(1)
9,,user9,13,1,支持,1.0,时间步13时分析了1条帖子，立场分布： 支持(1)
9,,user9,14,1,支持,1.0,时间步14时分析了1条帖子，立场分布： 支持(1)
9,,user9,15,1,支持,1.0,时间步15时分析了1条帖子，立场分布： 支持(1)
9,,user9,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
9,,user9,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
9,,user9,18,1,支持,1.0,时间步18时分析了1条帖子，立场分布： 支持(1)
9,,user9,19,1,支持,1.0,时间步19时分析了1条帖子，立场分布： 支持(1)
10,,user10,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
10,,user10,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
10,,user10,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
10,,user10,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
10,,user10,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
10,,user10,5,1,中立,1.0,时间步5时分析了1条帖子，立场分布： 中立(1)
10,,user10,6,1,中立,1.0,时间步6时分析了1条帖子，立场分布： 中立(1)
10,,user10,7,1,中立,1.0,时间步7时分析了1条帖子，立场分布： 中立(1)
10,,user10,8,1,支持,1.0,时间步8时分析了1条帖子，立场分布： 支持(1)
10,,user10,9,1,支持,1.0,时间步9时分析了1条帖子，立场分布： 支持(1)
10,,user10,10,1,支持,1.0,时间步10时分析了1条帖子，立场分布： 支持(1)
10,,user10,11,1,支持,1.0,时间步11时分析了1条帖子，立场分布： 支持(1)
10,,user10,12,1,中立,1.0,时间步12时分析了1条帖子，立场分布： 中立(1)
10,,user10,13,1,中立,1.0,时间步13时分析了1条帖子，立场分布： 中立(1)
10,,user10,14,1,支持,1.0,时间步14时分析了1条帖子，立场分布： 支持(1)
10,,user10,15,1,中立,1.0,时间步15时分析了1条帖子，立场分布： 中立(1)
10,,user10,16,1,中立,1.0,时间步16时分析了1条帖子，立场分布： 中立(1)
10,,user10,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
10,,user10,18,1,支持,1.0,时间步18时分析了1条帖子，立场分布： 支持(1)
10,,user10,19,1,支持,1.0,时间步19时分析了1条帖子，立场分布： 支持(1)
11,,user11,0,1,中立,1.0,时间步0时分析了1条帖子，立场分布： 中立(1)
11,,user11,1,1,中立,1.0,时间步1时分析了1条帖子，立场分布： 中立(1)
11,,user11,2,1,中立,1.0,时间步2时分析了1条帖子，立场分布： 中立(1)
11,,user11,3,1,中立,1.0,时间步3时分析了1条帖子，立场分布： 中立(1)
11,,user11,4,1,中立,1.0,时间步4时分析了1条帖子，立场分布： 中立(1)
11,,user11,5,1,混合,1.0,时间步5时分析了1条帖子，立场分布： 混合(1)
11,,user11,6,1,中立,1.0,时间步6时分析了1条帖子，立场分布： 中立(1)
11,,user11,7,1,支持,1.0,时间步7时分析了1条帖子，立场分布： 支持(1)
11,,user11,8,1,支持,1.0,时间步8时分析了1条帖子，立场分布： 支持(1)
11,,user11,9,1,中立,1.0,时间步9时分析了1条帖子，立场分布： 中立(1)
11,,user11,10,1,支持,1.0,时间步10时分析了1条帖子，立场分布： 支持(1)
11,,user11,11,1,支持,1.0,时间步11时分析了1条帖子，立场分布： 支持(1)
11,,user11,12,1,中立,1.0,时间步12时分析了1条帖子，立场分布： 中立(1)
11,,user11,13,1,支持,1.0,时间步13时分析了1条帖子，立场分布： 支持(1)
11,,user11,14,1,中立,1.0,时间步14时分析了1条帖子，立场分布： 中立(1)
11,,user11,15,1,支持,1.0,时间步15时分析了1条帖子，立场分布： 支持(1)
11,,user11,16,1,支持,1.0,时间步16时分析了1条帖子，立场分布： 支持(1)
11,,user11,17,1,支持,1.0,时间步17时分析了1条帖子，立场分布： 支持(1)
11,,user11,18,1,支持,1.0,时间步18时分析了1条帖子，立场分布： 支持(1)
11,,user11,19,1,中立,1.0,时间步19时分析了1条帖子，立场分布： 中立(1)
